,name,link,min_salary,max_salary,currency,employer,site_name
0,Data Scientist,https://hh.ru/vacancy/51774138?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,1000,3000,USD,VARUS,hh.ru
1,Архитектор Big Data,https://hh.ru/vacancy/51702499?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,ООО Клауд Солюшенс,hh.ru
2,Senior Python Developer (Big Data),https://hh.ru/vacancy/51854603?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,"FOZZY GROUP, Корпорация",hh.ru
3,Data Engineer,https://hh.ru/vacancy/51850885?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,СберЗвук,hh.ru
4,"Big Data Engineer, Ozon Express",https://hh.ru/vacancy/50655166?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Ozon Express,hh.ru
5,Bigdata Engineer,https://hh.ru/vacancy/44474485?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,300000,,руб.,Diamond Personnel R&C,hh.ru
6,"Big Data Engineer, Ozon Express",https://hh.ru/vacancy/50655162?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Ozon Express,hh.ru
7,"Data Engineer (ETL, Big Data)",https://hh.ru/vacancy/50454386?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,АО Рамакс Интернейшнл,hh.ru
8,Инструктор Big Data,https://hh.ru/vacancy/51651235?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,55000,70000,грн.,Miralabs,hh.ru
9,Data Scientist,https://hh.ru/vacancy/51774151?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,1000,3000,USD,VARUS,hh.ru
10,Аналитик Big Data,https://hh.ru/vacancy/46734159?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,ЕВРОПЕЙСКИЙ МЕДИЦИНСКИЙ ЦЕНТР,hh.ru
11,Data Scientist,https://hh.ru/vacancy/51774153?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,1000,3000,USD,VARUS,hh.ru
12,Стажер BigData разработчик (Python),https://hh.ru/vacancy/50857602?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,ITFB Group,hh.ru
13,Разработчик Big Data,https://hh.ru/vacancy/50710191?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Билайн,hh.ru
14,Data Scientist,https://hh.ru/vacancy/51774158?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,1000,3000,USD,VARUS,hh.ru
15,Data Scientist,https://hh.ru/vacancy/51774117?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,1000,3000,USD,VARUS,hh.ru
16,Data Scientist,https://hh.ru/vacancy/51774149?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,1000,3000,USD,VARUS,hh.ru
17,Експерт з корпоративних продажів (Big Data Analitics),https://hh.ru/vacancy/51805430?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Vodafone Украина,hh.ru
18,Data Analyst,https://hh.ru/vacancy/51055696?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Viber,hh.ru
19,Data Engineer,https://hh.ru/vacancy/51845009?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,QIWI,hh.ru
20,Data scientist (Нижний Новгород),https://hh.ru/vacancy/50867549?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,E-PROMO,hh.ru
21,Big Data Developer,https://hh.ru/vacancy/46571284?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,ООО G5 Entertainment AB,hh.ru
22,Експерт з корпоративних продажів (Big Data Analitics),https://hh.ru/vacancy/51805430?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Vodafone Украина,hh.ru
23,"Big Data Engineer, Ozon Express",https://hh.ru/vacancy/50655163?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Ozon Express,hh.ru
24,Data Engineer,https://hh.ru/vacancy/51348154?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,200000,,руб.,Сбер. IT,hh.ru
25,"Data science (Big Data аналитик, MY.GAMES)",https://hh.ru/vacancy/50044016?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,"VK, MY.GAMES",hh.ru
26,Разработчик Big Data,https://hh.ru/vacancy/50710190?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Билайн,hh.ru
27,Data-Scientist,https://hh.ru/vacancy/50998298?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Weborama Russia,hh.ru
